department
"""Administrative Office"""
"""Bills Section"""
"""Budget Section"""
"""Central Library"""
"""Central Workshop"""
"""Centre of Excellence in Corrosion and Surface Engineering"""
"""Computer Support Group"""
"""Dean (R&C)"""
"""Department of Architecture"""
"""Department of Chemical Engineering"""
"""Department of Chemistry"""
"""Department of Civil Engineering"""
"""Department of Computer Applications"""
"""Department of Computer Science and Engineering"""
"""Department of Electrical and Electronics Engineering"""
"""Department of Electronics and Communication Engineering"""
"""Department of Energy and Environment"""
"""Department of Humanities and Social Sciences"""
"""Department of Instrumentation and Control Engineering"""
"""Department of Management Studies"""
"""Department of Mathematics"""
"""Department of Mechanical Engineering"""
"""Department of Metallurgical and Materials Engineering"""
"""Department of Physics"""
"""Department of Production Engineering"""
"""Director Office"""
"""Establishment Section"""
"""Estate Maintenance Dept"""
"""First Year Co ordinator Office"""
"""Hospital"""
"""Hostel"""
"""Internal Audit section"""
"""MOOCs Center"""
"""Office of Dean Academic"""
"""Office of Dean Faculty Welfare"""
"""Office of Dean Institute Development and Alumni Affairs"""
"""Office of Dean Planning and Development"""
"""Office of Dean Research and Consultancy"""
"""Office of Dean Student Welfare"""
"""PF Section"""
"""PFMS section"""
"""Paybill Section"""
"""Physical Education Department"""
"""Recruitment Cell"""
"""Registrar Office"""
"""Research and Innovation Hub"""
"""Sophisticated Instrumentation Facility"""
"""Stores and Purchase Section"""
"""Training and Placement Cell"""
